Start,Output
38.21,67.07773417
26.6,67.07773417
48.8,67.07773417
63.78,67.07773417
71.64,67.07773417
81.45,67.07773417
26.87,67.07773417
62.07,67.07773417
29.81,67.07773417
67.1,67.07773417
71.4,67.07773417
93.96,67.07773417
70.41,67.07773417
94.02,67.07773417
121.23,67.07773417
46.32,67.07773417
106.35,67.07773417
69.06,67.07773417
63.23,67.07773417
64.13,67.07773417
26.14,67.07773417
76.96,67.07773417
102.31,67.07773417
65.98,67.07773417
94.83,67.07773417
63.81,67.07773417
101.73,67.07773417
66.21,67.07773417
30.77,67.07773417
82.98,67.07773417
124.72,67.07773417
80.29,67.07773417
88.32,67.07773417
21.63,67.07773413
93.91,67.07773417
26.77,67.07773417
106.48,67.07773417
30.76,67.07773417
112.92,67.07773417
55.21,67.07773417
105.51,67.07773417
53.63,67.07773417
98.57,67.07773417
86.19,67.07773417
74.45,67.07773417
78.08,67.07773417
91.77,67.07773417
87.6,67.07773417
93.91,67.07773417
97.55,67.07773417
134.52,67.07773417
96.44,67.07773417
103.23,67.07773417
99.37,67.07773417
27.97,67.07773417
76.08,67.07773417
36.91,67.07773417
53.46,67.07773417
19.08,67.0777338
30.66,67.07773417
79.84,67.07773417
75.03,67.07773417
25.37,67.07773417
60.01,67.07773417
30.08,67.07773417
19.62,67.07773407
43.83,67.07773417
27.54,67.07773417
27.73,67.07773417
107.4,67.07773417
33.16,67.07773417
43.96,67.07773417
46.1,67.07773417
23.62,67.07773417
27.55,67.07773417
114.85,67.07773417
35.97,67.07773417
30.41,67.07773417
63.56,67.07773417
101.92,67.07773417
85.73,67.07773417
71.96,67.07773417
90.18,67.07773417
70.28,67.07773417
75.46,67.07773417
91.53,67.07773417
74.65,67.07773417
99.16,67.07773417
20.06,67.07773412
58.91,67.07773417
92.0,67.07773417
103.69,67.07773417
96.51,67.07773417
81.23,67.07773417
41.54,67.07773417
53.95,67.07773417
90.13,67.07773417
34.57,67.07773417
70.08,67.07773417
89.03,67.07773417
62.2,67.07773417
46.82,67.07773417
60.25,67.07773417
30.37,67.07773417
35.85,67.07773417
25.79,67.07773417
101.39,67.07773417
54.16,67.07773417
99.37,67.07773417
99.68,67.07773417
101.56,67.07773417
77.4,67.07773417
62.51,67.07773417
109.86,67.07773417
80.27,67.07773417
32.84,67.07773417
79.97,67.07773417
34.62,67.07773417
46.65,67.07773417
93.2,67.07773417
50.95,67.07773417
56.67,67.07773417
27.0,67.07773417
84.42,67.07773417
35.13,67.07773417
80.82,67.07773417
47.15,67.07773417
41.06,67.07773417
30.19,67.07773417
96.8,67.07773417
30.59,67.07773417
37.3,67.07773417
50.76,67.07773417
83.91,67.07773417
37.77,67.07773417
56.2,67.07773417
139.96,67.07773417
75.92,67.07773417
52.99,67.07773417
104.05,67.07773417
64.64,67.07773417
65.1,67.07773417
110.89,67.07773417
65.08,67.07773417
26.19,67.07773417
62.19,67.07773417
78.68,67.07773417
26.94,67.07773417
55.53,67.07773417
40.88,67.07773417
95.83,67.07773417
68.58,67.07773417
38.45,67.07773417
25.28,67.07773417
49.13,67.07773417
53.65,67.07773417
93.07,67.07773417
100.07,67.07773417
67.21,67.07773417
26.79,67.07773417
32.43,67.07773417
55.03,67.07773417
50.25,67.07773417
86.89,67.07773417
100.05,67.07773417
99.53,67.07773417
131.38,67.07773417
28.26,67.07773417
68.03,67.07773417
30.71,67.07773417
87.15,67.07773417
59.63,67.07773417
51.12,67.07773417
42.76,67.07773417
98.32,67.07773417
89.64,67.07773417
51.54,67.07773417
28.67,67.07773417
93.39,67.07773417
88.69,67.07773417
60.0,67.07773417
39.74,67.07773417
29.6,67.07773417
95.55,67.07773417
31.04,67.07773417
104.33,67.07773417
48.75,67.07773417
53.28,67.07773417
59.73,67.07773417
133.92,67.07773417
79.44,67.07773417
94.41,67.07773417
102.79,67.07773417
59.4,67.07773417
26.19,67.07773417
91.23,67.07773417
34.51,67.07773417
111.71,67.07773417
97.24,67.07773417
82.0,67.07773417
74.55,67.07773417
51.17,67.07773417
65.67,67.07773417
80.04,67.07773417
44.51,67.07773417
85.85,67.07773417
84.07,67.07773417
127.15,67.07773417
84.37,67.07773417
59.62,67.07773417
89.21,67.07773417
98.4,67.07773417
90.37,67.07773417
33.61,67.07773417
76.15,67.07773417
77.46,67.07773417
27.27,67.07773417
77.25,67.07773417
56.23,67.07773417
76.37,67.07773417
107.56,67.07773417
97.24,67.07773417
72.73,67.07773417
79.75,67.07773417
104.15,67.07773417
74.96,67.07773417
58.4,67.07773417
107.44,67.07773417
71.69,67.07773417
42.81,67.07773417
40.87,67.07773417
60.27,67.07773417
36.06,67.07773417
48.29,67.07773417
35.42,67.07773417
28.58,67.07773417
88.02,67.07773417
101.92,67.07773417
37.9,67.07773417
69.82,67.07773417
49.71,67.07773417
69.48,67.07773417
46.03,67.07773417
83.92,67.07773417
61.01,67.07773417
58.92,67.07773417
58.64,67.07773417
21.47,67.07773415
91.38,67.07773417
48.68,67.07773417
105.02,67.07773417
63.47,67.07773417
22.51,67.07773415
80.3,67.07773417
56.29,67.07773417
106.65,67.07773417
77.34,67.07773417
70.38,67.07773417
99.44,67.07773417
89.83,67.07773417
68.86,67.07773417
18.2,67.0777338
46.28,67.07773417
60.74,67.07773417
42.46,67.07773417
77.05,67.07773417
101.2,67.07773417
21.33,67.07773407
63.63,67.07773417
84.5,67.07773417
46.75,67.07773417
58.03,67.07773417
96.92,67.07773417
49.46,67.07773417
29.56,67.07773417
69.81,67.07773417
127.25,67.07773417
93.41,67.07773417
71.96,67.07773417
102.57,67.07773417
99.07,67.07773417
41.73,67.07773417
45.93,67.07773417
75.4,67.07773417
71.38,67.07773417
89.4,67.07773417
33.66,67.07773417
35.6,67.07773417
47.12,67.07773417
105.59,67.07773417
92.44,67.07773417
